country,recent rating mean,version range,# collected reviews
US,3.594,5.1.7-5.3.7,500
IN,3.5426621160409555,5.0.1-5.3.7,293
PH,3.2442748091603053,5.0.1-5.3.7,131
CA,2.896,5.0.1-5.3.7,500
AU,3.254681647940075,5.0.1-5.3.7,267
HK,3.29957805907173,5.0.1-5.3.7,237
CN,4.014,5.2.3-5.3.7,500
